filename,width,height,class,xmin,ymin,xmax,ymax
162.jpg,300,400,greensquare,28,7,130,71
1390.jpg,300,400,greensquare,26,1,143,97
604.jpg,300,400,bluetriangle,44,31,165,152
2699.jpg,300,400,greentriangle,18,3,75,59
2841.jpg,400,300,greencircle,36,43,127,134
2855.jpg,400,300,bluecircle,0,25,76,87
88.jpg,400,300,redtriangle,32,44,146,148
610.jpg,400,300,bluecircle,26,0,104,81
1384.jpg,300,400,redcircle,26,23,84,78
176.jpg,400,300,redsquare,8,54,115,169
638.jpg,400,300,bluetriangle,4,4,83,41
2869.jpg,400,300,greensquare,8,44,105,141
1435.jpg,300,400,bluesquare,21,18,89,92
2882.jpg,300,400,redcircle,32,43,153,164
1353.jpg,300,400,bluesquare,38,18,128,96
1347.jpg,400,300,redsquare,34,27,154,149
2896.jpg,400,300,greencircle,27,11,86,60
2128.jpg,300,400,redcircle,55,41,175,161
1421.jpg,300,400,redtriangle,4,9,73,58
2100.jpg,400,300,redcircle,4,24,63,83
1409.jpg,400,300,redsquare,31,30,152,147
63.jpg,300,400,redsquare,20,12,82,68
823.jpg,300,400,bluecircle,24,53,143,174
2672.jpg,300,400,greentriangle,10,0,79,43
77.jpg,300,400,bluesquare,21,30,103,113
837.jpg,400,300,bluesquare,17,17,86,90
189.jpg,300,400,greentriangle,12,15,55,81
2114.jpg,300,400,bluetriangle,36,7,120,52
406.jpg,400,300,greencircle,8,25,66,83
1192.jpg,300,400,redtriangle,12,3,149,76
360.jpg,300,400,redcircle,32,33,109,109
1838.jpg,400,300,redsquare,60,17,219,166
374.jpg,300,400,redtriangle,10,6,135,83
1186.jpg,400,300,redcircle,0,9,70,66
412.jpg,400,300,redtriangle,32,21,119,85
1810.jpg,300,400,greensquare,26,1,130,105
1804.jpg,300,400,redsquare,17,16,138,137
348.jpg,300,400,redcircle,29,28,115,95
1151.jpg,400,300,bluecircle,34,13,107,94
3020.jpg,400,300,bluecircle,24,5,85,65
1637.jpg,400,300,greencircle,11,20,67,76
1623.jpg,300,400,bluecircle,28,13,105,89
1145.jpg,400,300,greensquare,31,20,95,84
2464.jpg,400,300,redsquare,17,21,94,98
2302.jpg,400,300,bluecircle,11,12,81,96
3008.jpg,400,300,bluetriangle,4,38,54,141
2316.jpg,300,400,bluecircle,10,42,114,144
1179.jpg,400,300,greencircle,23,14,114,105
2470.jpg,400,300,greencircle,15,20,131,127
572.jpg,400,300,greencircle,3,19,77,108
214.jpg,300,400,redsquare,0,39,93,138
1958.jpg,400,300,greentriangle,20,7,84,98
3197.jpg,400,300,redtriangle,27,8,151,110
2289.jpg,400,300,greensquare,13,15,74,76
3183.jpg,300,400,bluesquare,19,32,97,110
1794.jpg,400,300,redsquare,23,33,97,103
228.jpg,300,400,redtriangle,23,34,99,132
1964.jpg,400,300,greencircle,21,0,68,57
1970.jpg,300,400,bluesquare,43,11,129,97
1025.jpg,400,300,greentriangle,21,23,99,95
3154.jpg,400,300,greentriangle,44,25,133,85
1743.jpg,400,300,bluesquare,23,53,136,165
1757.jpg,400,300,bluetriangle,3,10,67,73
3140.jpg,300,400,bluecircle,4,22,90,105
2538.jpg,400,300,redtriangle,14,22,72,66
1031.jpg,300,400,redsquare,6,15,121,140
2510.jpg,300,400,bluetriangle,38,29,119,102
1019.jpg,300,400,bluetriangle,11,17,81,80
2276.jpg,300,400,redsquare,19,12,94,87
3168.jpg,300,400,greensquare,15,0,81,71
2262.jpg,300,400,bluecircle,23,17,97,91
599.jpg,400,300,greencircle,9,9,90,86
2504.jpg,300,400,greensquare,45,13,142,109
1582.jpg,300,400,redsquare,13,15,75,77
770.jpg,300,400,greencircle,0,5,56,59
2935.jpg,300,400,bluecircle,16,16,72,72
2921.jpg,300,400,greensquare,27,11,83,67
764.jpg,400,300,bluetriangle,5,16,99,95
1596.jpg,400,300,bluetriangle,3,4,65,68
2909.jpg,300,400,redtriangle,33,20,113,65
994.jpg,400,300,redtriangle,61,1,187,85
758.jpg,400,300,redcircle,8,6,85,83
980.jpg,400,300,greensquare,31,15,108,92
1541.jpg,400,300,greencircle,21,13,90,82
2048.jpg,400,300,greencircle,2,2,65,65
